Rk_x,Player,Age_x,Team_x,Pos_x,G_x,GS_x,QBrec,Cmp,Att_x,Cmp%,Yds_x,TD_x,TD%,Int,Int%,1D_x,Succ%_x,Lng_x,Y/A_x,AY/A,Y/C,Y/G_x,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards_x,Player-additional,Rk_y,Age_y,Team_y,Pos_y,G_y,GS_y,Att_y,Yds_y,TD_y,1D_y,Succ%_y,Lng_y,Y/A_y,Y/G_y,A/G,Fmb_x,Awards_y,-9999_x,Rk,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb_y,Awards,-9999_y,Total_Yards,Season_Label
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,MIN,WR,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,MIN,WR,11.0,4.0,18.0,8.0,69.0,8.6,0.0,6.0,44.4,19.0,0.7,6.3,44.4,3.8,0.0,0,ThieAd00,0,Elite
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,MIN,WR,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,PIT,WR,5.0,3.0,17.0,11.0,117.0,10.6,0.0,4.0,47.1,28.0,2.2,23.4,64.7,6.9,0.0,0,ThieAd00,0,Elite
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,PIT,WR,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,2TM,WR,16.0,7.0,35.0,19.0,186.0,9.8,0.0,10.0,45.7,28.0,1.2,11.6,54.3,5.3,0.0,0,ThieAd00,0,Elite
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,PIT,WR,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,MIN,WR,11.0,4.0,18.0,8.0,69.0,8.6,0.0,6.0,44.4,19.0,0.7,6.3,44.4,3.8,0.0,0,ThieAd00,0,Elite
0.0,Adam Thielen,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,PIT,WR,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,PIT,WR,5.0,3.0,17.0,11.0,117.0,10.6,0.0,4.0,47.1,28.0,2.2,23.4,64.7,6.9,0.0,0,ThieAd00,0,Elite
0.0,Adam Trautman,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,560.0,28.0,DEN,TE,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,TrauAd00,201.0,28.0,DEN,TE,17.0,12.0,23.0,20.0,195.0,9.8,1.0,11.0,73.9,26.0,1.2,11.5,87.0,8.5,0.0,0,TrauAd00,0,Elite
0.0,Adonai Mitchell,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,2TM,WR,16.0,5.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.3,0.1,1.0,0,MitcAd00,137.0,23.0,2TM,WR,16.0,5.0,74.0,33.0,453.0,13.7,2.0,15.0,36.5,75.0,2.1,28.3,44.6,6.1,1.0,0,MitcAd00,0,Elite
0.0,Adonai Mitchell,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,2TM,WR,16.0,5.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.3,0.1,1.0,0,MitcAd00,137.0,23.0,IND,WR,8.0,1.0,16.0,9.0,152.0,16.9,0.0,2.0,37.5,75.0,1.1,19.0,56.3,9.5,1.0,0,MitcAd00,0,Elite
0.0,Adonai Mitchell,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,2TM,WR,16.0,5.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.3,0.1,1.0,0,MitcAd00,137.0,23.0,NYJ,WR,8.0,4.0,58.0,24.0,301.0,12.5,2.0,13.0,36.2,52.0,3.0,37.6,41.4,5.2,0.0,0,MitcAd00,0,Elite
0.0,Adonai Mitchell,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,IND,WR,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,MitcAd00,137.0,23.0,2TM,WR,16.0,5.0,74.0,33.0,453.0,13.7,2.0,15.0,36.5,75.0,2.1,28.3,44.6,6.1,1.0,0,MitcAd00,0,Elite
0.0,Adonai Mitchell,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,IND,WR,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,MitcAd00,137.0,23.0,IND,WR,8.0,1.0,16.0,9.0,152.0,16.9,0.0,2.0,37.5,75.0,1.1,19.0,56.3,9.5,1.0,0,MitcAd00,0,Elite
0.0,Adonai Mitchell,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,IND,WR,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,MitcAd00,137.0,23.0,NYJ,WR,8.0,4.0,58.0,24.0,301.0,12.5,2.0,13.0,36.2,52.0,3.0,37.6,41.4,5.2,0.0,0,MitcAd00,0,Elite
0.0,Adonai Mitchell,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,NYJ,WR,8.0,4.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.5,0.1,0.0,0,MitcAd00,137.0,23.0,2TM,WR,16.0,5.0,74.0,33.0,453.0,13.7,2.0,15.0,36.5,75.0,2.1,28.3,44.6,6.1,1.0,0,MitcAd00,0,Elite
0.0,Adonai Mitchell,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,NYJ,WR,8.0,4.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.5,0.1,0.0,0,MitcAd00,137.0,23.0,IND,WR,8.0,1.0,16.0,9.0,152.0,16.9,0.0,2.0,37.5,75.0,1.1,19.0,56.3,9.5,1.0,0,MitcAd00,0,Elite
0.0,Adonai Mitchell,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,NYJ,WR,8.0,4.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.5,0.1,0.0,0,MitcAd00,137.0,23.0,NYJ,WR,8.0,4.0,58.0,24.0,301.0,12.5,2.0,13.0,36.2,52.0,3.0,37.6,41.4,5.2,0.0,0,MitcAd00,0,Elite
0.0,Adrian Martinez,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,315.0,25.0,SFO,QB,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0,MartAd00,536.0,25.0,SFO,QB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,MartAd00,0,Elite
63.0,Aidan O'Connell,27.0,LVR,QB,1.0,0.0,0,10.0,22.0,45.5,102.0,0.0,0.0,0.0,0.0,5.0,30.4,23.0,4.6,4.64,10.2,102.0,59.3,16.3,1.0,5.0,4.35,4.22,4.22,1.0,1.0,0,OConAi00,320.0,27.0,LVR,QB,1.0,0.0,1.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,1.0,0.0,0,OConAi00,552.0,27.0,LVR,QB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,OConAi00,0,Elite
0.0,Albert Okwuegbunam,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,495.0,27.0,LVR,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,OkwuAl00,348.0,27.0,LVR,TE,1.0,0.0,6.0,5.0,36.0,7.2,0.0,2.0,50.0,16.0,5.0,36.0,83.3,6.0,0.0,0,OkwuAl00,0,Elite
0.0,Alec Ingold,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,270.0,29.0,MIA,FB,17.0,10.0,2.0,9.0,0.0,1.0,50.0,6.0,4.5,0.5,0.1,0.0,0,IngoAl01,308.0,29.0,MIA,FB,17.0,10.0,11.0,8.0,52.0,6.5,0.0,4.0,36.4,22.0,0.5,3.1,72.7,4.7,0.0,0,IngoAl01,0,Elite
0.0,Alec Pierce,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,507.0,25.0,IND,WR,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,PierAl00,76.0,25.0,IND,WR,15.0,14.0,84.0,47.0,1003.0,21.3,6.0,41.0,54.8,66.0,3.1,66.9,56.0,11.9,0.0,0,PierAl00,0,Elite
0.0,Alex Bachman,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,348.0,29.0,LVR,WR,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,BachAl00,398.0,29.0,LVR,WR,13.0,0.0,3.0,2.0,12.0,6.0,0.0,2.0,66.7,9.0,0.2,0.9,66.7,4.0,1.0,0,BachAl00,0,Elite
0.0,Alex Cappa,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,372.0,30.0,LVR,G,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,CappAl00,492.0,30.0,LVR,G,17.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,CappAl00,0,Elite
0.0,Allen Lazard,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,458.0,30.0,NYJ,WR,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LazaAl00,284.0,30.0,NYJ,WR,10.0,2.0,18.0,10.0,70.0,7.0,1.0,4.0,38.9,10.0,1.0,7.0,55.6,3.9,0.0,0,LazaAl00,0,Elite
