Rk,player,age,team,pos,G,GS,QBrec,Cmp,Att,Cmp%,pass_yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional,Rk_rush,age_rush,team_rush,pos_rush,G_rush,GS_rush,Att_rush,rush_yds,TD_rush,1D_rush,Succ%_rush,Lng_rush,Y/A_rush,Y/G_rush,A/G,Fmb,Awards_rush,-9999,Rk_rec,age_rec,team_rec,pos_rec,G_rec,GS_rec,Tgt,Rec,rec_yds,Y/R,TD_rec,1D_rec,Succ%_rec,Lng_rec,R/G,Y/G_rec,Ctch%,Y/Tgt,Fmb_rec,Awards_rec,-9999_rec,Total_Yards,score,pct_rank,Season_Label
0.0,Adam Thielen,35.0,MIN,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,MIN,WR,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,MIN,WR,11.0,4.0,18.0,8.0,69.0,8.6,0.0,6.0,44.4,19.0,0.7,6.3,44.4,3.8,0.0,0,ThieAd00,69.0,69.0,0.27564102564102566,Underperformed
0.0,Adam Thielen,35.0,MIN,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,MIN,WR,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,PIT,WR,5.0,3.0,17.0,11.0,117.0,10.6,0.0,4.0,47.1,28.0,2.2,23.4,64.7,6.9,0.0,0,ThieAd00,117.0,117.0,0.40705128205128205,Underperformed
0.0,Adam Thielen,35.0,PIT,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,PIT,WR,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,2TM,WR,16.0,7.0,35.0,19.0,186.0,9.8,0.0,10.0,45.7,28.0,1.2,11.6,54.3,5.3,0.0,0,ThieAd00,186.0,186.0,0.5,Good
0.0,Adam Thielen,35.0,PIT,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,PIT,WR,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,MIN,WR,11.0,4.0,18.0,8.0,69.0,8.6,0.0,6.0,44.4,19.0,0.7,6.3,44.4,3.8,0.0,0,ThieAd00,69.0,69.0,0.27564102564102566,Underperformed
0.0,Adam Thielen,35.0,PIT,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,548.0,35.0,PIT,WR,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ThieAd00,210.0,35.0,PIT,WR,5.0,3.0,17.0,11.0,117.0,10.6,0.0,4.0,47.1,28.0,2.2,23.4,64.7,6.9,0.0,0,ThieAd00,117.0,117.0,0.40705128205128205,Underperformed
0.0,Adam Trautman,28.0,DEN,TE,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,560.0,28.0,DEN,TE,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,TrauAd00,201.0,28.0,DEN,TE,17.0,12.0,23.0,20.0,195.0,9.8,1.0,11.0,73.9,26.0,1.2,11.5,87.0,8.5,0.0,0,TrauAd00,195.0,195.0,0.647887323943662,Good
0.0,Adonai Mitchell,23.0,2TM,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,2TM,WR,16.0,5.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.3,0.1,1.0,0,MitcAd00,137.0,23.0,2TM,WR,16.0,5.0,74.0,33.0,453.0,13.7,2.0,15.0,36.5,75.0,2.1,28.3,44.6,6.1,1.0,0,MitcAd00,449.0,453.0,0.7724358974358975,Good
0.0,Adonai Mitchell,23.0,2TM,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,2TM,WR,16.0,5.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.3,0.1,1.0,0,MitcAd00,137.0,23.0,IND,WR,8.0,1.0,16.0,9.0,152.0,16.9,0.0,2.0,37.5,75.0,1.1,19.0,56.3,9.5,1.0,0,MitcAd00,148.0,152.0,0.4519230769230769,Underperformed
0.0,Adonai Mitchell,23.0,2TM,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,2TM,WR,16.0,5.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.3,0.1,1.0,0,MitcAd00,137.0,23.0,NYJ,WR,8.0,4.0,58.0,24.0,301.0,12.5,2.0,13.0,36.2,52.0,3.0,37.6,41.4,5.2,0.0,0,MitcAd00,297.0,301.0,0.6538461538461539,Good
0.0,Adonai Mitchell,23.0,IND,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,IND,WR,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,MitcAd00,137.0,23.0,2TM,WR,16.0,5.0,74.0,33.0,453.0,13.7,2.0,15.0,36.5,75.0,2.1,28.3,44.6,6.1,1.0,0,MitcAd00,453.0,453.0,0.7724358974358975,Good
